# Spaceport America (Up to date)
# 1049 data points written for 34 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.84,793.877,300.743,-27.612,303.22,27.725,313.66,0.057,313.66,0.01,38.673,2.497,33,-106.999,9.789,0.006,-6.319e-6,1.456,-0.021,0.004,-3.327e-4,0,0,0,0,3.009e-5,82.283,0.018,2.11,-0.056,764.502,331.265,0.05,0.248
3.89,808.88,299.366,-27.477,301.839,27.563,319.994,0.059,319.994,0.01,38.557,2.184,33,-106.999,9.789,0.038,6.746e-6,-1.19,-0.013,0.022,-3.583e-5,0,0,0,0,-2.026e-5,82.21,0.016,2.173,-0.154,763.058,331.206,0.05,0.25
3.94,823.814,297.995,-27.327,300.466,27.399,326.311,0.061,326.311,0.011,38.455,1.983,33,-106.999,9.788,0.065,-2.681e-6,-0.271,0.013,0.039,-5.622e-6,0,0,0,0,-1.064e-6,82.173,0.016,2.141,-0.251,761.62,331.147,0.05,0.252
3.99,838.68,296.633,-27.143,299.103,27.219,332.611,0.062,332.611,0.011,38.357,2.034,33,-106.999,9.788,0.055,-3.099e-6,0.818,-0.004,0.033,-1.681e-4,0,0,0,0,9.765e-6,82.191,0.017,2.025,-0.348,760.19,331.088,0.05,0.254
4.04,853.477,295.282,-26.903,297.748,27.021,338.894,0.064,338.894,0.011,38.244,2.531,33,-106.999,9.788,0.024,1.033e-5,-1.142,-0.017,0.015,-4.65e-4,0,0,0,0,-1.918e-5,82.249,0.018,2.09,-0.444,758.765,331.03,0.05,0.256
4.09,868.208,293.945,-26.604,296.404,26.763,345.156,0.066,345.156,0.011,38.104,2.92,33,-106.999,9.788,0.089,2.751e-6,-0.119,-0.009,0.053,1.097e-6,0,0,0,0,-2.093e-7,82.287,0.019,2.21,-0.539,757.347,330.972,0.05,0.257
4.14,882.872,292.621,-26.389,295.073,26.524,351.395,0.068,351.395,0.011,37.96,2.675,33,-106.999,9.788,0.057,-3.839e-6,1.167,0.007,0.033,1.771e-4,0,0,0,0,2.038e-5,82.256,0.018,2.141,-0.635,755.936,330.914,0.05,0.258
4.19,897.47,291.306,-26.213,293.753,26.306,357.612,0.07,357.612,0.011,37.838,2.206,33,-106.999,9.788,0.013,6.599e-7,-1.481,0.014,0.007,1.162e-4,0,0,0,0,-3.316e-5,82.18,0.016,2.083,-0.73,754.531,330.857,0.05,0.26
4.24,912.003,289.999,-26.021,292.444,26.093,363.811,0.072,363.811,0.011,37.738,1.927,33,-106.999,9.788,0.054,6.578e-6,-0.909,-0.004,0.032,-3.83e-4,0,0,0,0,-1.26e-5,82.115,0.015,2.125,-0.824,753.132,330.799,0.05,0.262
4.29,926.47,288.703,-25.825,291.147,25.881,369.994,0.074,369.994,0.012,37.649,1.693,33,-106.999,9.788,0.087,5.569e-6,0.197,-0.006,0.051,4.346e-4,0,0,0,0,5.975e-7,82.096,0.016,1.962,-0.918,751.739,330.743,0.05,0.264
4.34,940.873,287.418,-25.545,289.862,25.635,376.162,0.076,376.162,0.012,37.556,2.146,33,-106.999,9.788,0.01,9.223e-6,1.094,-0.033,0.006,3.015e-4,0,0,0,0,1.858e-5,82.137,0.017,2.091,-1.012,750.353,330.686,0.05,0.266
4.39,955.212,286.148,-25.284,288.587,25.407,382.314,0.078,382.314,0.012,37.437,2.496,33,-106.999,9.788,0.053,7.283e-6,-0.642,-0.014,0.031,2.468e-4,0,0,0,0,-6.459e-6,82.187,0.018,2.12,-1.105,748.973,330.629,0.05,0.269
4.44,969.488,284.889,-25.074,287.322,25.198,388.445,0.081,388.445,0.012,37.31,2.496,33,-106.999,9.788,0.058,3.898e-6,0.21,-0.003,0.034,-4.837e-5,0,0,0,0,6.962e-7,82.199,0.02,2.033,-1.198,747.599,330.573,0.05,0.271
4.49,983.701,283.641,-24.889,286.068,25.001,394.555,0.083,394.555,0.012,37.188,2.366,33,-106.999,9.788,0.041,6.196e-6,0.959,6.211e-4,0.024,1.292e-4,0,0,0,0,1.466e-5,82.165,0.02,2.049,-1.29,746.26,330.517,0.05,0.273
4.54,997.852,282.4,-24.731,284.824,24.818,400.646,0.085,400.646,0.012,37.076,2.076,33,-106.999,9.788,0.005,-1.679e-6,-1.254,0.021,0.003,1.685e-4,0,0,0,0,-2.529e-5,82.104,0.019,2.056,-1.382,744.966,330.461,0.05,0.275
4.59,1011.942,281.167,-24.565,283.589,24.638,406.72,0.087,406.72,0.012,36.979,1.894,33,-106.999,9.788,0.033,2.368e-6,-0.925,0.001,0.02,-4.719e-4,0,0,0,0,-1.387e-5,82.046,0.017,2.124,-1.474,743.677,330.406,0.05,0.277
4.64,1025.969,279.943,-24.406,282.363,24.463,412.778,0.089,412.778,0.012,36.89,1.669,33,-106.999,9.788,0.069,2.48e-6,-0.216,-0.004,0.04,-3.789e-4,0,0,0,0,-7.636e-7,82.016,0.016,2.015,-1.565,742.394,330.351,0.05,0.278
4.69,1039.936,278.728,-24.198,281.147,24.267,418.823,0.091,418.823,0.012,36.805,1.83,33,-106.999,9.788,0.037,1.833e-6,0.637,-0.006,0.021,1.763e-4,0,0,0,0,6.695e-6,82.031,0.017,2.026,-1.656,741.116,330.296,0.05,0.28
4.74,1053.842,277.523,-23.978,279.94,24.071,424.853,0.093,424.853,0.013,36.706,2.116,33,-106.999,9.788,0.018,2.224e-6,-0.748,-0.013,0.011,3.166e-4,0,0,0,0,-9.309e-6,82.071,0.02,2.05,-1.746,739.844,330.241,0.05,0.281
4.79,1067.689,276.33,-23.764,278.742,23.884,430.865,0.096,430.865,0.013,36.592,2.389,33,-106.999,9.788,0.071,6.921e-7,-0.124,-0.006,0.041,-1.587e-4,0,0,0,0,-2.574e-7,82.097,0.024,2.139,-1.836,738.577,330.186,0.05,0.282
4.84,1081.475,275.146,-23.607,277.553,23.715,436.858,0.098,436.858,0.013,36.473,2.262,33,-106.999,9.788,0.053,7.913e-6,0.821,-0.013,0.03,4.516e-4,0,0,0,0,1.142e-5,82.077,0.026,2.087,-1.926,737.316,330.132,0.05,0.283
4.89,1095.203,273.969,-23.469,276.372,23.557,442.832,0.1,442.832,0.013,36.366,2.027,33,-106.999,9.788,0.013,-9.282e-7,1.221,-0.025,0.008,-9.377e-5,0,0,0,0,2.545e-5,82.021,0.024,2.093,-2.015,736.06,330.078,0.05,0.284
4.94,1108.873,272.799,-23.343,275.2,23.407,448.79,0.102,448.79,0.013,36.273,1.737,33,-106.999,9.788,0.037,6.897e-7,-1.092,-0.006,0.022,3.47e-4,0,0,0,0,-2.055e-5,81.959,0.019,2.072,-2.104,734.81,330.024,0.05,0.285
4.99,1122.483,271.635,-23.198,274.035,23.253,454.733,0.105,454.733,0.013,36.191,1.605,33,-106.999,9.788,0.059,3.85e-6,-0.41,-0.011,0.034,2.819e-4,0,0,0,0,-2.923e-6,81.92,0.014,2.069,-2.192,733.564,329.97,0.05,0.286
5.04,1136.036,270.479,-23.033,272.879,23.09,460.663,0.107,460.663,0.013,36.111,1.625,33,-106.998,9.788,0.052,4.83e-6,0.348,-0.012,0.03,-3.666e-5,0,0,0,0,2.121e-6,81.921,0.012,2.028,-2.28,732.325,329.917,0.05,0.288
5.09,1149.531,269.333,-22.823,271.731,22.912,466.58,0.109,466.58,0.013,36.021,2.012,33,-106.998,9.787,0.025,2.475e-6,-0.58,-0.041,0.014,1.515e-4,0,0,0,0,-5.936e-6,81.95,0.015,2.205,-2.368,731.09,329.864,0.05,0.289
5.14,1162.97,268.196,-22.654,270.59,22.752,472.48,0.111,472.48,0.014,35.916,2.107,33,-106.998,9.787,0.048,1.691e-6,-0.004,-0.018,0.027,4.991e-4,0,0,0,0,0,81.966,0.022,2.181,-2.455,729.861,329.811,0.05,0.29
5.19,1176.351,267.067,-22.513,269.457,22.603,478.363,0.114,478.363,0.014,35.811,2.022,33,-106.998,9.787,0.036,3.561e-7,0.513,-0.02,0.02,4.736e-5,0,0,0,0,4.725e-6,81.952,0.028,2.12,-2.542,728.637,329.758,0.05,0.292
5.24,1189.676,265.944,-22.395,268.332,22.466,484.23,0.116,484.23,0.014,35.716,1.785,33,-106.998,9.787,0.007,-2.79e-6,-0.699,-0.094,0.004,-4.292e-4,0,0,0,0,-8.855e-6,81.918,0.03,2.006,-2.629,727.418,329.706,0.05,0.294
5.29,1202.946,264.828,-22.262,267.214,22.325,490.082,0.118,490.082,0.014,35.631,1.683,33,-106.998,9.787,0.024,3.291e-6,-0.456,-0.036,0.013,-2.408e-4,0,0,0,0,-3.794e-6,81.887,0.03,1.998,-2.715,726.204,329.653,0.05,0.296
5.34,1216.159,263.718,-22.118,266.103,22.182,495.92,0.121,495.92,0.014,35.547,1.677,33,-106.998,9.787,0.022,2.101e-6,-0.193,-0.026,0.013,4.752e-4,0,0,0,0,-6.872e-7,81.871,0.025,2.013,-2.801,724.995,329.601,0.05,0.297
5.39,1229.318,262.616,-21.981,265,22.041,501.744,0.123,501.744,0.014,35.464,1.634,33,-106.998,9.787,0.027,1.237e-6,0.107,-0.016,0.015,-4.249e-4,0,0,0,0,2.107e-7,81.87,0.019,1.923,-2.887,723.791,329.55,0.05,0.298
5.44,1242.421,261.521,-21.824,263.903,21.894,507.555,0.126,507.555,0.014,35.38,1.751,33,-106.998,9.787,0.001,2.102e-6,-0.106,-0.277,2.13e-4,3.308e-5,0,0,0,0,-2.097e-7,81.882,0.016,1.928,-2.972,722.593,329.498,0.05,0.299
5.49,1255.47,260.433,-21.666,262.813,21.749,513.351,0.128,513.351,0.014,35.289,1.9,33,-106.998,9.787,0.035,0,-0.062,0.001,0.02,3.539e-4,0,0,0,0,-7.25e-8,81.893,0.016,1.98,-3.057,721.399,329.447,0.05,0.301
5.54,1268.464,259.354,-21.519,261.731,21.611,519.132,0.131,519.132,0.014,35.19,1.992,33,-106.998,9.787,0.058,-2.396e-6,0.487,-0.016,0.032,-4.84e-4,0,0,0,0,4.512e-6,81.883,0.021,2.074,-3.141,720.21,329.395,0.05,0.302
5.59,1281.405,258.281,-21.399,260.654,21.483,524.897,0.133,524.897,0.015,35.092,1.897,33,-106.998,9.787,0.041,-4.449e-6,1.079,-0.025,0.023,-6.998e-5,0,0,0,0,2.233e-5,81.842,0.025,2.123,-3.225,719.026,329.344,0.05,0.303
5.64,1294.293,257.214,-21.301,259.584,21.366,530.646,0.135,530.646,0.015,35.003,1.663,33,-106.998,9.787,0.006,3.263e-6,-1.273,-0.169,0.004,1.539e-4,0,0,0,0,-3.134e-5,81.779,0.029,2.122,-3.309,717.847,329.294,0.05,0.305
5.69,1307.127,256.151,-21.212,258.521,21.257,536.382,0.138,536.382,0.015,34.927,1.383,33,-106.998,9.787,0.064,6.1e-6,-0.898,-0.023,0.036,3.501e-4,0,0,0,0,-1.575e-5,81.721,0.029,2.036,-3.392,716.673,329.243,0.05,0.306
5.74,1319.908,255.093,-21.077,257.464,21.127,542.106,0.141,542.106,0.015,34.859,1.445,33,-106.998,9.787,0.049,3.344e-6,-0.182,-0.018,0.027,-2.742e-4,0,0,0,0,-6.536e-7,81.695,0.026,2.148,-3.475,715.504,329.193,0.05,0.306
5.79,1332.636,254.043,-20.93,256.413,20.991,547.818,0.143,547.818,0.015,34.783,1.605,33,-106.998,9.787,0.011,3.073e-6,0.103,-0.011,0.007,4.42e-4,0,0,0,0,2.112e-7,81.696,0.021,2.251,-3.558,714.34,329.143,0.05,0.308
5.84,1345.312,253,-20.779,255.369,20.857,553.517,0.146,553.517,0.015,34.697,1.801,33,-106.998,9.787,0.036,2.853e-6,0.012,-0.002,0.02,-2.682e-4,0,0,0,0,0,81.702,0.019,2.375,-3.641,713.18,329.093,0.05,0.309
5.89,1357.936,251.965,-20.654,254.33,20.735,559.201,0.148,559.201,0.015,34.605,1.826,33,-106.998,9.787,0.045,3.974e-6,0.485,0.005,0.025,2.151e-4,0,0,0,0,4.744e-6,81.69,0.019,2.408,-3.723,712.025,329.043,0.05,0.31
5.94,1370.509,250.935,-20.539,253.297,20.618,564.87,0.151,564.87,0.015,34.514,1.804,33,-106.998,9.787,0.043,3.112e-6,0.942,0.012,0.024,-3.524e-4,0,0,0,0,1.801e-5,81.653,0.021,2.497,-3.804,710.875,328.993,0.05,0.311
5.99,1383.03,249.911,-20.428,252.271,20.505,570.524,0.153,570.524,0.015,34.425,1.764,33,-106.998,9.787,0.036,6.252e-6,1.348,-0.005,0.019,-4.062e-4,0,0,0,0,3.721e-5,81.594,0.023,2.665,-3.886,709.73,328.944,0.05,0.312
6.04,1395.5,248.891,-20.352,251.25,20.407,576.165,0.156,576.165,0.016,34.343,1.489,33,-106.998,9.787,0.026,-2.45e-6,-1.45,0.003,0.014,-2.394e-4,0,0,0,0,-4.338e-5,81.521,0.026,2.641,-3.967,708.589,328.895,0.05,0.313
6.09,1407.919,247.876,-20.28,250.234,20.315,581.793,0.159,581.793,0.016,34.277,1.197,33,-106.998,9.787,0.091,9.074e-6,-0.82,-0.01,0.05,-1.832e-5,0,0,0,0,-1.399e-5,81.461,0.029,2.52,-4.048,707.453,328.846,0.05,0.314
6.14,1420.288,246.864,-20.173,249.224,20.205,587.411,0.161,587.411,0.016,34.22,1.149,33,-106.998,9.787,0.1,1.329e-6,0.209,0.008,0.054,8.848e-5,0,0,0,0,9.194e-7,81.447,0.031,2.458,-4.128,706.321,328.797,0.05,0.315
6.19,1432.606,245.858,-20.044,248.22,20.083,593.019,0.164,593.019,0.016,34.16,1.251,33,-106.998,9.787,0.072,1.747e-6,1.073,0.014,0.04,1.588e-4,0,0,0,0,2.435e-5,81.482,0.031,2.346,-4.208,705.194,328.749,0.05,0.316
6.24,1444.874,244.86,-19.893,247.222,19.95,598.618,0.167,598.618,0.016,34.092,1.511,33,-106.998,9.787,0.005,6.876e-6,1.482,0.137,0.003,-1.207e-4,0,0,0,0,4.685e-5,81.551,0.029,2.27,-4.288,704.072,328.701,0.05,0.317
6.29,1457.092,243.87,-19.731,246.229,19.821,604.203,0.169,604.203,0.016,34.006,1.88,33,-106.998,9.787,0.09,6.461e-6,-1.064,0.009,0.049,1.068e-5,0,0,0,0,-2.434e-5,81.619,0.026,2.33,-4.367,702.955,328.652,0.05,0.319
6.34,1469.261,242.886,-19.606,245.242,19.708,609.774,0.172,609.774,0.016,33.907,2.005,33,-106.998,9.787,0.126,2.345e-6,0.049,0.016,0.069,1.944e-4,0,0,0,0,5.264e-8,81.646,0.023,2.321,-4.446,701.841,328.604,0.05,0.32
6.39,1481.381,241.909,-19.504,244.26,19.605,615.328,0.175,615.328,0.016,33.806,1.989,33,-106.998,9.786,0.125,2.983e-6,1.244,0.006,0.068,-4.113e-4,0,0,0,0,3.38e-5,81.611,0.022,2.415,-4.525,700.75,328.557,0.05,0.322
6.44,1493.452,240.935,-19.446,243.283,19.518,620.866,0.178,620.866,0.016,33.714,1.669,33,-106.998,9.786,0.048,-4.242e-6,2.132,0.025,0.027,7.235e-5,0,0,0,0,1.001e-4,81.521,0.022,2.407,-4.604,699.701,328.509,0.05,0.323
6.49,1505.474,239.964,-19.4,242.31,19.443,626.39,0.18,626.39,0.016,33.64,1.297,33,-106.998,9.786,0.044,9.429e-6,-2.122,0.014,0.024,3.858e-6,0,0,0,0,-9.988e-5,81.409,0.025,2.405,-4.682,698.657,328.462,0.05,0.325
6.54,1517.448,238.995,-19.355,241.343,19.377,631.903,0.183,631.903,0.017,33.586,0.929,33,-106.998,9.786,0.137,9.469e-6,-1.272,0.004,0.075,-2.242e-4,0,0,0,0,-3.618e-5,81.32,0.028,2.295,-4.76,697.616,328.415,0.05,0.326
6.59,1529.374,238.029,-19.263,240.381,19.283,637.409,0.186,637.409,0.017,33.543,0.877,33,-106.998,9.786,0.149,3.056e-6,0.112,0.007,0.08,-3.49e-4,0,0,0,0,2.808e-7,81.292,0.031,2.27,-4.837,696.58,328.368,0.05,0.328
6.64,1541.251,237.069,-19.132,239.424,19.163,642.908,0.189,642.908,0.017,33.495,1.089,33,-106.998,9.786,0.091,6.341e-6,1.215,0.013,0.049,-3.801e-4,0,0,0,0,3.353e-5,81.33,0.033,2.272,-4.914,695.548,328.321,0.05,0.329
6.69,1553.081,236.116,-18.985,238.471,19.038,648.398,0.192,648.398,0.017,33.432,1.408,33,-106.998,9.786,0.003,8.894e-6,1.601,0.333,0.001,2.665e-4,0,0,0,0,5.876e-5,81.407,0.033,2.247,-4.991,694.52,328.274,0.05,0.331
6.74,1564.863,235.171,-18.85,237.524,18.924,653.876,0.195,653.876,0.017,33.354,1.667,33,-106.998,9.786,0.072,8.567e-6,-1.321,0.007,0.038,-1.174e-4,0,0,0,0,-4.028e-5,81.485,0.031,2.172,-5.068,693.497,328.228,0.05,0.333
6.79,1576.598,234.231,-18.733,236.582,18.821,659.34,0.197,659.34,0.017,33.266,1.819,33,-106.998,9.786,0.118,7.246e-6,-0.473,0.003,0.064,3.168e-4,0,0,0,0,-5.22e-6,81.531,0.028,2.116,-5.144,692.477,328.182,0.05,0.334
6.84,1588.286,233.297,-18.627,235.644,18.725,664.789,0.2,664.789,0.017,33.172,1.913,33,-106.998,9.786,0.147,5.546e-6,0.684,0.012,0.079,2.979e-4,0,0,0,0,1.098e-5,81.525,0.026,2.215,-5.22,691.461,328.136,0.05,0.335
6.89,1599.928,232.368,-18.554,234.711,18.64,670.223,0.203,670.223,0.017,33.078,1.782,33,-106.998,9.786,0.114,6.403e-7,1.872,0.009,0.062,2.201e-4,0,0,0,0,8.291e-5,81.457,0.025,2.304,-5.296,690.45,328.09,0.05,0.336
6.94,1611.523,231.441,-18.511,233.782,18.569,675.642,0.206,675.642,0.017,32.997,1.465,33,-106.998,9.786,0.029,3.649e-7,2.495,0.031,0.016,-3.705e-4,0,0,0,0,1.483e-4,81.343,0.027,2.352,-5.371,689.442,328.044,0.05,0.337
6.99,1623.072,230.516,-18.49,232.857,18.517,681.05,0.209,681.05,0.018,32.935,1.013,33,-106.998,9.786,0.096,1.378e-5,-2.229,0.002,0.052,-1.013e-4,0,0,0,0,-1.194e-4,81.219,0.029,2.259,-5.446,688.439,327.999,0.05,0.338
7.04,1634.575,229.593,-18.438,231.937,18.454,686.449,0.212,686.449,0.018,32.892,0.782,33,-106.998,9.786,0.16,7.29e-6,-1.087,9.739e-4,0.085,-1.715e-4,0,0,0,0,-2.863e-5,81.134,0.032,2.247,-5.521,687.439,327.953,0.05,0.338
7.09,1646.031,228.673,-18.36,231.021,18.374,691.841,0.215,691.841,0.018,32.856,0.711,33,-106.998,9.786,0.178,4.423e-6,0.313,-0.002,0.095,1.65e-4,0,0,0,0,2.399e-6,81.116,0.033,2.15,-5.595,686.444,327.908,0.05,0.34
7.14,1657.442,227.758,-18.231,230.11,18.257,697.228,0.218,697.228,0.018,32.815,0.979,33,-106.998,9.786,0.099,9.683e-6,1.505,0.008,0.052,2.71e-4,0,0,0,0,5.574e-5,81.166,0.033,2.178,-5.669,685.452,327.863,0.05,0.341
7.19,1668.807,226.85,-18.094,229.203,18.141,702.607,0.221,702.607,0.018,32.758,1.301,33,-106.998,9.786,0.001,-6.404e-7,1.806,0.539,7.972e-4,4.382e-4,0,0,0,0,8.085e-5,81.257,0.032,2.137,-5.743,684.465,327.818,0.05,0.343
7.24,1680.127,225.948,-17.959,228.3,18.033,707.974,0.224,707.974,0.018,32.684,1.636,33,-106.998,9.786,0.102,7.373e-6,-1.494,0.004,0.055,-4.2e-4,0,0,0,0,-5.582e-5,81.346,0.03,2.133,-5.817,683.481,327.774,0.05,0.345
7.29,1691.402,225.054,-17.836,227.402,17.938,713.329,0.227,713.329,0.018,32.594,1.914,33,-106.998,9.786,0.189,7.173e-6,-0.325,-0.001,0.1,2.934e-4,0,0,0,0,-2.668e-6,81.394,0.027,2.243,-5.89,682.502,327.729,0.05,0.347
7.34,1702.632,224.164,-17.757,226.507,17.857,718.667,0.23,718.667,0.018,32.497,1.892,33,-106.998,9.786,0.187,4.955e-6,1.213,0.011,0.099,-4.731e-4,0,0,0,0,3.734e-5,81.369,0.026,2.284,-5.963,681.526,327.685,0.05,0.352
7.39,1713.818,223.278,-17.717,225.617,17.789,723.991,0.234,723.991,0.018,32.408,1.61,33,-106.998,9.786,0.105,1.052e-6,2.372,0.012,0.056,3.434e-4,0,0,0,0,1.439e-4,81.275,0.026,2.276,-6.036,680.554,327.641,0.05,0.353
7.44,1724.96,222.392,-17.698,224.731,17.739,729.301,0.237,729.301,0.019,32.338,1.2,33,-106.998,9.786,0.017,1.579e-5,-2.719,0.042,0.009,-4.828e-4,0,0,0,0,-1.907e-4,81.142,0.029,2.241,-6.108,679.586,327.597,0.05,0.354
7.49,1736.058,221.507,-17.684,223.849,17.701,734.602,0.24,734.602,0.019,32.289,0.781,33,-106.998,9.786,0.145,1.795e-6,-2.1,0.012,0.076,-4.846e-5,0,0,0,0,-1.147e-4,81.016,0.033,2.138,-6.18,678.622,327.554,0.05,0.355
7.54,1747.111,220.624,-17.629,222.97,17.641,739.896,0.243,739.896,0.019,32.256,0.635,33,-106.998,9.786,0.189,6.511e-6,-0.783,0.004,0.099,1.569e-4,0,0,0,0,-1.605e-5,80.944,0.036,2.149,-6.252,677.661,327.51,0.05,0.355
7.59,1758.12,219.745,-17.529,222.095,17.546,745.184,0.246,745.184,0.019,32.222,0.782,33,-106.998,9.786,0.143,8.083e-6,0.483,-0.002,0.076,2.771e-4,0,0,0,0,6.16e-6,80.939,0.037,2.256,-6.324,676.705,327.467,0.05,0.357
7.64,1769.086,218.872,-17.41,221.224,17.441,750.466,0.249,750.466,0.019,32.176,1.049,33,-106.998,9.786,0.057,7.938e-6,1.225,0.006,0.03,4.016e-4,0,0,0,0,3.997e-5,80.987,0.036,2.327,-6.395,675.752,327.423,0.05,0.358
7.69,1780.007,218.004,-17.306,220.357,17.348,755.74,0.252,755.74,0.019,32.119,1.21,33,-106.998,9.786,1.791e-4,7.917e-6,0,0,-3.92e-5,1.528e-4,0,0,0,0,0,81.056,0.032,2.199,-6.466,674.803,327.38,0.05,0.359
7.74,1790.886,217.141,-17.196,219.494,17.255,761.004,0.255,761.004,0.019,32.053,1.432,33,-106.998,9.786,0.077,8.678e-6,-1.157,-0.005,0.04,-2.132e-4,0,0,0,0,-3.622e-5,81.123,0.028,2.168,-6.537,673.858,327.338,0.05,0.362
7.79,1801.722,216.284,-17.108,218.635,17.175,766.255,0.259,766.256,0.019,31.978,1.516,33,-106.997,9.785,0.109,1.773e-6,-0.447,0.005,0.057,2.941e-4,0,0,0,0,-5.438e-6,81.164,0.026,2.077,-6.607,672.916,327.295,0.05,0.364
7.84,1812.515,215.431,-17.033,217.78,17.101,771.495,0.262,771.495,0.019,31.901,1.521,33,-106.997,9.785,0.116,5.999e-6,0.344,-0.002,0.061,2.414e-4,0,0,0,0,3.244e-6,81.165,0.026,2.033,-6.677,671.978,327.252,0.05,0.366
7.89,1823.265,214.581,-16.954,216.928,17.027,776.722,0.265,776.722,0.02,31.824,1.574,33,-106.997,9.785,0.136,6.432e-6,1.211,-0.004,0.071,3.403e-4,0,0,0,0,4.058e-5,81.125,0.029,2.208,-6.747,671.044,327.21,0.05,0.368
7.94,1833.973,213.735,-16.904,216.08,16.965,781.936,0.268,781.936,0.02,31.748,1.435,33,-106.997,9.785,0.092,5.737e-6,2.065,-0.024,0.047,-1.753e-5,0,0,0,0,1.19e-4,81.04,0.034,2.301,-6.817,670.114,327.168,0.05,0.37
7.99,1844.638,212.89,-16.884,215.235,16.92,787.138,0.271,787.138,0.02,31.684,1.102,33,-106.997,9.785,0.018,-2.491e-6,-2.328,-0.09,0.01,2.288e-4,0,0,0,0,-1.524e-4,80.927,0.039,2.234,-6.886,669.187,327.126,0.05,0.372
8.04,1855.262,212.046,-16.863,214.393,16.882,792.332,0.275,792.332,0.02,31.638,0.795,33,-106.997,9.785,0.122,-4.277e-6,-1.831,-0.008,0.063,-7.989e-6,0,0,0,0,-9.503e-5,80.819,0.042,2.157,-6.955,668.264,327.084,0.05,0.374
8.09,1865.843,211.204,-16.815,213.555,16.828,797.519,0.278,797.519,0.02,31.602,0.668,33,-106.997,9.785,0.164,1.087e-6,-0.83,-0.011,0.086,3.996e-4,0,0,0,0,-1.966e-5,80.752,0.042,2.156,-7.024,667.345,327.042,0.05,0.376
8.14,1876.382,210.365,-16.741,212.721,16.756,802.7,0.281,802.7,0.02,31.569,0.694,33,-106.997,9.785,0.154,1.013e-6,0.237,-0.006,0.08,-4.239e-4,0,0,0,0,1.618e-6,80.739,0.039,2.149,-7.093,666.429,327.001,0.05,0.378
8.19,1886.88,209.53,-16.646,211.889,16.668,807.876,0.285,807.876,0.02,31.531,0.858,33,-106.997,9.785,0.094,2.248e-6,1.078,-0.017,0.049,3.334e-4,0,0,0,0,3.373e-5,80.775,0.034,2.148,-7.161,665.517,326.959,0.05,0.38
8.24,1897.335,208.701,-16.538,211.062,16.575,813.044,0.288,813.044,0.02,31.482,1.106,33,-106.997,9.785,0.003,-1.521e-6,1.333,-0.412,0.001,-4.94e-4,0,0,0,0,5.193e-5,80.841,0.03,2.166,-7.229,664.608,326.918,0.05,0.381
8.29,1907.75,207.876,-16.445,210.238,16.494,818.204,0.292,818.204,0.02,31.421,1.267,33,-106.997,9.785,0.06,-5.597e-7,-1.178,-0.019,0.031,-7.892e-5,0,0,0,0,-4.089e-5,80.908,0.027,2.078,-7.296,663.703,326.877,0.05,0.382
8.34,1918.123,207.056,-16.352,209.417,16.415,823.353,0.295,823.353,0.021,31.354,1.44,33,-106.997,9.785,0.127,2.357e-6,-0.61,-0.009,0.066,2.408e-4,0,0,0,0,-1.106e-5,80.954,0.027,2.091,-7.364,662.802,326.836,0.05,0.383
8.39,1928.455,206.241,-16.272,208.599,16.345,828.49,0.298,828.49,0.021,31.278,1.54,33,-106.997,9.785,0.168,2.298e-6,0.349,-0.005,0.086,1.651e-4,0,0,0,0,3.647e-6,80.96,0.029,2.16,-7.431,661.904,326.796,0.05,0.385
8.44,1938.747,205.429,-16.226,207.785,16.287,833.615,0.302,833.615,0.021,31.203,1.418,33,-106.997,9.785,0.128,3.867e-7,1.315,-0.008,0.066,-2.667e-4,0,0,0,0,5.213e-5,80.917,0.032,2.11,-7.498,661.01,326.755,0.05,0.386
8.49,1948.998,204.618,-16.194,206.974,16.239,838.728,0.305,838.728,0.021,31.137,1.214,33,-106.997,9.785,0.055,-3.58e-6,1.878,-0.015,0.029,-2.868e-4,0,0,0,0,1.072e-4,80.834,0.036,2.076,-7.565,660.119,326.715,0.05,0.387
8.54,1959.209,203.809,-16.166,206.166,16.196,843.831,0.308,843.831,0.021,31.083,0.992,33,-106.997,9.785,0.026,9.099e-6,-1.963,-0.049,0.014,3.161e-4,0,0,0,0,-1.18e-4,80.735,0.04,2.063,-7.631,659.232,326.675,0.05,0.389
